 INFO  Accepting connections at http://localhost:4173
 HTTP  2026/3/24 1:04:52 127.0.0.1 GET /assets/assets/fonts/Ionicons.b4eb097d35f44ed943676fd56f6bdc51.ttf
 HTTP  2026/3/24 1:04:52 127.0.0.1 GET /assets/assets/fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  2026/3/24 1:04:52 127.0.0.1 Returned 304 in 1 ms
 HTTP  2026/3/24 1:04:52 127.0.0.1 Returned 304 in 3 ms
 HTTP  2026/3/24 1:04:53 127.0.0.1 GET /assets/assets/icons/bell.6d244035d4c3c8feb3495cf93019c3b6.png
 HTTP  2026/3/24 1:04:53 127.0.0.1 Returned 304 in 1 ms
 HTTP  2026/3/24 1:06:33 127.0.0.1 GET /
 HTTP  2026/3/24 1:06:33 127.0.0.1 Returned 200 in 0 ms
 HTTP  2026/3/24 1:06:33 127.0.0.1 GET /_expo/static/js/web/index-bfb64a3913ac2cbad6304a4a420477cc.js
 HTTP  2026/3/24 1:06:33 127.0.0.1 Returned 200 in 0 ms
 HTTP  2026/3/24 1:06:33 127.0.0.1 GET /favicon.ico
 HTTP  2026/3/24 1:06:33 127.0.0.1 Returned 304 in 0 ms
 HTTP  2026/3/24 1:06:33 127.0.0.1 GET /assets/assets/fonts/Ionicons.b4eb097d35f44ed943676fd56f6bdc51.ttf
 HTTP  2026/3/24 1:06:33 127.0.0.1 Returned 304 in 0 ms
 HTTP  2026/3/24 1:06:33 127.0.0.1 GET /assets/assets/fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  2026/3/24 1:06:33 127.0.0.1 Returned 304 in 1 ms
 HTTP  2026/3/24 1:06:34 127.0.0.1 GET /assets/assets/icons/bell.6d244035d4c3c8feb3495cf93019c3b6.png
 HTTP  2026/3/24 1:06:34 127.0.0.1 Returned 304 in 0 ms
